id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36677589,Střední škola technická Svitavy,15034569,"Gymnázium, obchodní akademie a jazyková škola s právem státní jazykové zkoušky S",62033026,104765.6,2026-01-26,2026,Smlouva o bezúplatném převodu majetku,True
36644957,"Pražské jaro, o.p.s.",25773194,Akademie múzických umění v Praze,61384984,756740.0,2026-02-03,2026,Nájemní smlouva - pronájem prostor pro Mezinárodní hudební soutěž PJ,False
36618081,"Statutární město Ostrava, městský obvod Ostrava-Jih",00845451,"Rainbow Run, z.s.",22876189,2919478.0,2026-02-02,2026,"Smlouva o dílo č. 94/26/OŠK School games 2026,ag.č. S/0158/2026/OŠK",False
36616613,Základní škola Havířov-Podlesí K. Světlé 1/1372 okres Karviná,48805424,SKOLATO s.r.o.,05459818,97400.65,2025-11-11,2025,"Dodání stolů, židlí a katedry do jazykové učebny",True
36601505,Společenství obcí Tišnovsko,75058944,Obec Vohančice,00366013,31060503.12,2025-07-21,2025,Smlouva o vkladu majetku,False
36541645,"Střední škola gastronomie a služeb, Nová Paka, Masarykovo nám. 2",15055256,AUTO VONDRÁK s.r.o.,26002124,497958.68,2025-11-07,2025,Nákup osobního vozidla ,True
36539213,"Gymnázium a základní umělecká škola Šlapanice, příspěvková organizace",49461249,MULTIP Moravia s.r.o.,16627971,198907.44,2026-01-23,2026,GSLAP_Nákup nábytku,True
36498753,"Základní škola Kuřim, Tyršova 1255, okres Brno - venkov, příspěvková organizace",49457888,"KOVO, výrobní družstvo",00030325,83815.0,2025-12-15,2025,Pořízení školních lavic,True
36497485,"Základní škola a mateřská škola Ostrava-Hrabůvka, Mitušova 16, příspěvková organizace",70631735,EDUKA CENTRUM s.r.o.,28607210,1913797.71,2026-01-22,2026,Modernizace odborných učeben - dodávka ICT vybavení,True
36485649,"Základní škola, Městec Králové, Nám. Republiky 303",70837414,Alekama s.r.o.,09157310,93645.45,2026-01-16,2026,Smlouva kupní - dodávka nábytku do učebny.,True
